epoch,acc,loss,val_acc,val_loss
0,0.6530612244897959,1.0336259423470011,0.8872549019607843,0.4640585634053922
1,0.9020408163265307,0.45852316861249964,0.9387254901960784,0.30969976794485954
2,0.9459183673469388,0.3330576324949459,0.9387254901960784,0.3318762054630354
3,0.9693877551020408,0.2619914152184311,0.9387254901960784,0.26536648618239983
4,0.9724489795918367,0.22088287831569203,0.9436274509803921,0.2590567808525235
5,0.9846938775510204,0.2034616739166026,0.9509803921568627,0.23313999395160115
6,0.9826530612244898,0.19704395009546863,0.928921568627451,0.37301070988178253
7,0.9836734693877551,0.17288816084667127,0.9509803921568627,0.24957297903065587
8,0.9887755102040816,0.16436157311711994,0.9485294117647058,0.22723441570997238
9,0.9938775510204082,0.1624322949623575,0.9543269230769231,0.21673713165980119
10,0.9908163265306122,0.14552421825272696,0.9583333333333334,0.19827632021670247
11,0.9948979591836735,0.13373784422874452,0.9558823529411765,0.20504558261703043
12,0.9938775510204082,0.1279074050334035,0.9362745098039216,0.2360760300767188
13,0.9928571428571429,0.11461908245573238,0.9558823529411765,0.17572333824400807
14,0.9948979591836735,0.11227288805708593,0.9534313725490197,0.19407875127359933
15,0.9989795918367347,0.10572094990282642,0.9754901960784313,0.11914835694958181
16,0.996938775510204,0.10634237375794625,0.9583333333333334,0.1732776903492563
17,0.9938775510204082,0.09843177168953175,0.9632352941176471,0.16402039202112778
18,0.9887755102040816,0.11479398322348693,0.9387254901960784,0.2005999551392069
19,0.9959183673469387,0.10055193426657696,0.946078431372549,0.1946582813181129
